Report Date,Week Ending Date,Health Region,Vaccination Status,Infections,Hospitalizations,Deaths,Population Denominator
9/24/21,8/14/21,Southwest Region,Fully Vaccinated,510,20,5,4740650
9/24/21,8/21/21,Northwest Region,Unvaccinated,2462,76,22,3104125
9/24/21,2/13/21,Southwest Region,Partially Vaccinated,137,9,8,698026
9/24/21,4/10/21,Southwest Region,Unvaccinated,1275,85,32,5153274
9/24/21,8/7/21,Northern Region,Unvaccinated,1366,43,4,3239711
9/24/21,4/24/21,Southwest Region,Fully Vaccinated,46,12,3,2707521
9/24/21,3/6/21,Southwest Region,Fully Vaccinated,11,2,0,914621
9/24/21,3/20/21,Southwest Region,Partially Vaccinated,122,7,3,965502
9/24/21,4/10/21,Eastern Region,Unvaccinated,1960,66,24,5153274
9/24/21,7/3/21,Northwest Region,Partially Vaccinated,9,5,2,539921
9/24/21,5/22/21,Eastern Region,Partially Vaccinated,30,2,0,807864
9/24/21,5/22/21,Northern Region,Fully Vaccinated,42,3,0,3802817
9/24/21,5/22/21,Southwest Region,Partially Vaccinated,27,4,0,807864
9/24/21,7/24/21,Eastern Region,Partially Vaccinated,66,0,0,539617
9/24/21,9/11/21,Southwest Region,Unvaccinated,5163,94,18,2925622
9/24/21,3/6/21,Central Region,Partially Vaccinated,91,9,2,693621
9/24/21,7/31/21,Southwest Region,Fully Vaccinated,334,30,3,4657238
9/24/21,8/14/21,Northwest Region,Unvaccinated,1711,69,19,3169523
9/24/21,8/14/21,Central Region,Fully Vaccinated,510,9,8,4740650
9/24/21,2/6/21,Eastern Region,Unvaccinated,5059,211,76,7589371
9/24/21,4/10/21,Northwest Region,Fully Vaccinated,27,1,0,2046658
9/24/21,4/3/21,Central Region,Partially Vaccinated,189,13,5,1289603
9/24/21,7/10/21,Central Region,Fully Vaccinated,68,6,2,4532652
9/24/21,5/29/21,Southwest Region,Fully Vaccinated,18,2,0,3953355
9/24/21,6/19/21,Northwest Region,Partially Vaccinated,7,1,0,575514
9/24/21,8/14/21,Northern Region,Fully Vaccinated,767,13,3,4740650
9/24/21,6/19/21,Central Region,Fully Vaccinated,20,0,0,4353426
9/24/21,4/3/21,Northwest Region,Partially Vaccinated,115,8,1,1289603
9/24/21,9/11/21,Northwest Region,Unvaccinated,4339,90,12,2925622
9/24/21,8/7/21,Northwest Region,Unvaccinated,1464,45,11,3239711
9/24/21,8/28/21,Northern Region,Unvaccinated,1909,43,3,3039229
9/24/21,5/15/21,Central Region,Partially Vaccinated,41,4,0,854793
9/24/21,6/26/21,Northern Region,Unvaccinated,189,3,1,3780584
9/24/21,8/28/21,Central Region,Partially Vaccinated,247,4,1,644202
9/24/21,5/8/21,Southwest Region,Fully Vaccinated,38,6,2,3314687
9/24/21,7/10/21,Northern Region,Unvaccinated,297,16,1,3471480
9/24/21,8/28/21,Eastern Region,Unvaccinated,4854,260,27,3039229
9/24/21,7/17/21,Southwest Region,Partially Vaccinated,19,2,2,527882
9/24/21,3/27/21,Northwest Region,Unvaccinated,1442,28,13,5894090
9/24/21,4/3/21,Northern Region,Fully Vaccinated,46,0,0,1737620
9/24/21,3/13/21,Northwest Region,Unvaccinated,1423,28,23,6649199
9/24/21,2/6/21,Southwest Region,Unvaccinated,2660,111,48,7589371
9/24/21,5/22/21,Northern Region,Unvaccinated,415,9,4,3924838
9/24/21,2/27/21,Southwest Region,Unvaccinated,1426,66,16,7189262
9/24/21,6/26/21,Eastern Region,Unvaccinated,266,22,8,3780584
9/24/21,1/30/21,Northern Region,Fully Vaccinated,3,0,0,141767
9/24/21,3/6/21,Southwest Region,Unvaccinated,1411,58,55,6927277
9/24/21,6/5/21,Central Region,Partially Vaccinated,10,0,0,730034
9/24/21,2/27/21,Eastern Region,Unvaccinated,2589,95,27,7189262
9/24/21,5/29/21,Southwest Region,Partially Vaccinated,35,4,0,778285
9/24/21,9/18/21,Northwest Region,Fully Vaccinated,397,15,0,5021157
9/24/21,4/24/21,Northwest Region,Partially Vaccinated,119,8,4,1225257
9/24/21,3/6/21,Eastern Region,Unvaccinated,2263,100,61,6927277
9/24/21,7/24/21,Eastern Region,Unvaccinated,1213,70,8,3376677
9/24/21,7/3/21,Northern Region,Fully Vaccinated,61,0,0,4484930
9/24/21,4/10/21,Central Region,Partially Vaccinated,181,16,4,1335587
9/24/21,5/15/21,Central Region,Fully Vaccinated,30,1,0,3565062
9/24/21,3/27/21,Northern Region,Unvaccinated,2602,58,9,5894090
9/24/21,5/29/21,Southwest Region,Unvaccinated,390,22,8,3803879
9/24/21,9/18/21,Northwest Region,Unvaccinated,4015,74,5,2872959
9/24/21,5/22/21,Northwest Region,Partially Vaccinated,25,2,0,807864
9/24/21,3/27/21,Northwest Region,Fully Vaccinated,25,0,0,1459375
9/24/21,6/5/21,Central Region,Fully Vaccinated,15,4,0,4076933
9/24/21,8/14/21,Northern Region,Unvaccinated,1519,55,10,3169523
9/24/21,7/10/21,Central Region,Partially Vaccinated,24,0,0,531387
