Report Date,Week Ending Date,Health Region,Vaccination Status,Infections,Hospitalizations,Deaths,Population Denominator
9/24/21,5/29/21,Central Region,Unvaccinated,296,12,4,3803879
9/24/21,9/18/21,Northern Region,Partially Vaccinated,172,4,0,641403
9/24/21,8/14/21,Southwest Region,Partially Vaccinated,140,3,3,625346
9/24/21,6/12/21,Northwest Region,Partially Vaccinated,11,0,0,637587
9/24/21,5/22/21,Eastern Region,Fully Vaccinated,26,2,0,3802817
9/24/21,5/1/21,Northern Region,Fully Vaccinated,85,3,0,3042614
9/24/21,7/10/21,Northern Region,Fully Vaccinated,134,9,0,4532652
9/24/21,6/19/21,Eastern Region,Fully Vaccinated,30,3,0,4353426
9/24/21,2/27/21,Southwest Region,Fully Vaccinated,8,0,0,746880
9/24/21,7/24/21,Southwest Region,Fully Vaccinated,167,7,0,4619225
9/24/21,5/8/21,Central Region,Fully Vaccinated,21,1,0,3314687
9/24/21,6/12/21,Northwest Region,Fully Vaccinated,21,4,0,4235855
9/24/21,4/10/21,Central Region,Unvaccinated,1582,52,29,5153274
9/24/21,5/1/21,Eastern Region,Partially Vaccinated,96,7,1,1104665
9/24/21,4/24/21,Eastern Region,Fully Vaccinated,32,3,0,2707521
9/24/21,5/15/21,Southwest Region,Fully Vaccinated,44,6,1,3565062
9/24/21,8/7/21,Southwest Region,Partially Vaccinated,91,4,0,599819
9/24/21,5/22/21,Central Region,Partially Vaccinated,27,4,1,807864
9/24/21,6/26/21,Northwest Region,Unvaccinated,170,11,5,3780584
9/24/21,2/13/21,Northwest Region,Partially Vaccinated,114,11,4,698026
9/24/21,6/5/21,Southwest Region,Fully Vaccinated,31,11,1,4076933
9/24/21,7/3/21,Eastern Region,Partially Vaccinated,13,2,0,539921
9/24/21,7/3/21,Northwest Region,Unvaccinated,208,15,1,3510668
9/24/21,8/14/21,Southwest Region,Unvaccinated,2214,85,27,3169523
9/24/21,6/19/21,Northern Region,Fully Vaccinated,49,1,0,4353426
9/24/21,3/13/21,Central Region,Partially Vaccinated,118,12,4,804991
9/24/21,1/23/21,Central Region,Fully Vaccinated,1,0,0,83144
9/24/21,3/13/21,Northwest Region,Partially Vaccinated,56,5,0,804991
9/24/21,9/11/21,Northern Region,Unvaccinated,2147,39,4,2925622
9/24/21,5/22/21,Southwest Region,Unvaccinated,527,38,10,3924838
9/24/21,3/27/21,Eastern Region,Fully Vaccinated,28,4,0,1459375
9/24/21,5/8/21,Northern Region,Partially Vaccinated,133,7,2,970053
9/24/21,7/10/21,Southwest Region,Unvaccinated,305,22,6,3471480
9/24/21,4/3/21,Eastern Region,Partially Vaccinated,210,14,9,1289603
9/24/21,6/5/21,Northern Region,Fully Vaccinated,53,6,0,4076933
9/24/21,1/23/21,Eastern Region,Fully Vaccinated,0,0,0,83144
9/24/21,1/30/21,Central Region,Partially Vaccinated,223,6,14,637549
9/24/21,3/13/21,Eastern Region,Partially Vaccinated,116,21,10,804991
9/24/21,8/21/21,Southwest Region,Unvaccinated,3033,109,27,3104125
9/24/21,3/27/21,Central Region,Unvaccinated,1775,48,12,5894090
9/24/21,7/24/21,Central Region,Unvaccinated,935,28,9,3376677
9/24/21,6/5/21,Southwest Region,Unvaccinated,263,31,4,3728552
9/24/21,6/5/21,Eastern Region,Unvaccinated,322,23,2,3728552
9/24/21,5/8/21,Eastern Region,Partially Vaccinated,53,4,0,970053
9/24/21,5/1/21,Southwest Region,Partially Vaccinated,65,9,0,1104665
9/24/21,6/12/21,Southwest Region,Partially Vaccinated,11,1,0,637587
9/24/21,6/12/21,Central Region,Unvaccinated,167,7,2,3662077
9/24/21,6/19/21,Central Region,Unvaccinated,146,1,2,3606579
9/24/21,6/12/21,Eastern Region,Fully Vaccinated,21,4,0,4235855
9/24/21,3/27/21,Central Region,Partially Vaccinated,187,8,5,1182054
9/24/21,7/10/21,Northwest Region,Fully Vaccinated,69,1,0,4532652
9/24/21,2/13/21,Northern Region,Fully Vaccinated,4,0,0,367440
9/24/21,3/27/21,Northwest Region,Partially Vaccinated,96,8,2,1182054
9/24/21,7/3/21,Northwest Region,Fully Vaccinated,35,2,0,4484930
9/24/21,3/6/21,Southwest Region,Partially Vaccinated,59,6,1,693621
9/24/21,8/28/21,Northwest Region,Fully Vaccinated,600,25,7,4852088
9/24/21,6/19/21,Northwest Region,Unvaccinated,157,8,1,3606579
9/24/21,8/21/21,Northwest Region,Partially Vaccinated,165,0,1,638793
9/24/21,2/27/21,Northern Region,Fully Vaccinated,13,0,0,746880
9/24/21,5/15/21,Northwest Region,Partially Vaccinated,42,3,2,854793
9/24/21,4/3/21,Southwest Region,Unvaccinated,1128,86,14,5508296
9/24/21,8/14/21,Northwest Region,Partially Vaccinated,114,5,0,625346
9/24/21,7/24/21,Central Region,Partially Vaccinated,34,0,0,539617
9/24/21,6/26/21,Northwest Region,Partially Vaccinated,9,2,0,528613
9/24/21,7/10/21,Southwest Region,Partially Vaccinated,14,1,0,531387
9/24/21,2/13/21,Northwest Region,Fully Vaccinated,10,0,1,367440
9/24/21,5/22/21,Eastern Region,Unvaccinated,603,26,4,3924838
9/24/21,7/3/21,Central Region,Unvaccinated,261,11,0,3510668
9/24/21,5/8/21,Southwest Region,Unvaccinated,809,55,14,4250779
9/24/21,2/6/21,Southwest Region,Partially Vaccinated,213,18,10,715996
9/24/21,6/5/21,Northwest Region,Unvaccinated,249,19,7,3728552
9/24/21,8/7/21,Eastern Region,Partially Vaccinated,217,14,0,599819
9/24/21,9/18/21,Eastern Region,Fully Vaccinated,334,9,0,5021157
9/24/21,3/27/21,Central Region,Fully Vaccinated,18,0,0,1459375
9/24/21,3/13/21,Northern Region,Partially Vaccinated,113,7,2,804991
9/24/21,7/3/21,Eastern Region,Fully Vaccinated,51,3,0,4484930
9/24/21,2/6/21,Southwest Region,Fully Vaccinated,4,0,0,230152
9/24/21,4/3/21,Southwest Region,Fully Vaccinated,20,2,0,1737620
9/24/21,3/27/21,Northern Region,Fully Vaccinated,45,2,2,1459375
9/24/21,1/23/21,Northern Region,Fully Vaccinated,1,0,0,83144
9/24/21,6/19/21,Eastern Region,Unvaccinated,238,20,2,3606579
9/24/21,4/17/21,Northwest Region,Unvaccinated,1411,59,16,4859889
9/24/21,8/7/21,Southwest Region,Fully Vaccinated,400,18,6,4695989
9/24/21,2/20/21,Northern Region,Fully Vaccinated,4,0,0,526245
9/24/21,3/6/21,Northern Region,Fully Vaccinated,11,1,1,914621
9/24/21,8/28/21,Northern Region,Partially Vaccinated,187,5,0,644202
9/24/21,3/6/21,Central Region,Fully Vaccinated,8,1,0,914621
9/24/21,1/30/21,Northern Region,Partially Vaccinated,125,7,4,637549
9/24/21,2/13/21,Central Region,Partially Vaccinated,163,15,5,698026
9/24/21,7/17/21,Eastern Region,Fully Vaccinated,109,5,3,4579164
9/24/21,4/3/21,Northern Region,Unvaccinated,2507,61,7,5508296
9/24/21,9/18/21,Southwest Region,Fully Vaccinated,515,12,0,5021157
9/24/21,2/27/21,Eastern Region,Fully Vaccinated,4,0,0,746880
9/24/21,4/24/21,Central Region,Fully Vaccinated,34,1,3,2707521
9/24/21,4/10/21,Northern Region,Unvaccinated,2333,46,13,5153274
9/24/21,2/6/21,Central Region,Partially Vaccinated,230,19,8,715996
9/24/21,2/27/21,Northwest Region,Partially Vaccinated,46,4,2,599377
9/24/21,2/20/21,Central Region,Fully Vaccinated,8,0,0,526245
9/24/21,6/19/21,Northwest Region,Fully Vaccinated,18,1,0,4353426
9/24/21,8/14/21,Northern Region,Partially Vaccinated,158,4,0,625346
9/24/21,5/1/21,Central Region,Partially Vaccinated,66,1,0,1104665
9/24/21,2/6/21,Northwest Region,Unvaccinated,3383,82,29,7589371
9/24/21,6/26/21,Northern Region,Fully Vaccinated,51,0,0,4226322
9/24/21,6/12/21,Eastern Region,Unvaccinated,261,15,3,3662077
9/24/21,7/17/21,Eastern Region,Unvaccinated,702,38,7,3428473
9/24/21,8/28/21,Central Region,Fully Vaccinated,492,12,3,4852088
9/24/21,5/15/21,Northwest Region,Unvaccinated,634,21,4,4115664
9/24/21,3/20/21,Central Region,Fully Vaccinated,6,1,0,1216291
9/24/21,9/11/21,Southwest Region,Partially Vaccinated,416,11,0,645675
9/24/21,9/18/21,Central Region,Partially Vaccinated,233,5,0,641403
9/24/21,1/30/21,Northwest Region,Partially Vaccinated,169,8,5,637549
9/24/21,5/8/21,Eastern Region,Fully Vaccinated,38,4,2,3314687
9/24/21,5/15/21,Eastern Region,Fully Vaccinated,25,0,1,3565062
9/24/21,5/29/21,Eastern Region,Unvaccinated,477,18,8,3803879
9/24/21,4/3/21,Eastern Region,Unvaccinated,2004,75,16,5508296
9/24/21,8/28/21,Southwest Region,Unvaccinated,4028,125,41,3039229
9/24/21,7/10/21,Northwest Region,Partially Vaccinated,15,2,0,531387
9/24/21,7/31/21,Eastern Region,Unvaccinated,1883,97,18,3313414
9/24/21,8/7/21,Northwest Region,Fully Vaccinated,432,21,8,4695989
9/24/21,5/15/21,Northern Region,Unvaccinated,571,26,7,4115664
9/24/21,9/18/21,Southwest Region,Partially Vaccinated,316,7,0,641403
9/24/21,1/23/21,Southwest Region,Partially Vaccinated,341,19,22,445402
9/24/21,2/20/21,Southwest Region,Partially Vaccinated,105,7,1,646725
9/24/21,8/21/21,Northern Region,Fully Vaccinated,896,24,3,4792601
9/24/21,2/13/21,Central Region,Unvaccinated,3006,92,41,7470053
9/24/21,9/11/21,Southwest Region,Fully Vaccinated,607,12,2,4964222
9/24/21,4/17/21,Northwest Region,Partially Vaccinated,182,11,2,1293027
9/24/21,9/4/21,Northern Region,Fully Vaccinated,793,8,1,4911839
9/24/21,6/5/21,Southwest Region,Partially Vaccinated,12,1,0,730034
9/24/21,1/30/21,Northwest Region,Fully Vaccinated,0,0,0,141767
9/24/21,5/29/21,Eastern Region,Fully Vaccinated,31,2,0,3953355
9/24/21,4/10/21,Southwest Region,Fully Vaccinated,25,13,3,2046658
9/24/21,8/28/21,Eastern Region,Partially Vaccinated,357,19,6,644202
9/24/21,8/7/21,Central Region,Fully Vaccinated,447,13,7,4695989
9/24/21,4/24/21,Northwest Region,Fully Vaccinated,37,1,0,2707521
9/24/21,6/19/21,Southwest Region,Unvaccinated,169,21,3,3606579
9/24/21,4/17/21,Northern Region,Unvaccinated,1805,52,5,4859889
9/24/21,8/21/21,Central Region,Unvaccinated,3161,39,29,3104125
9/24/21,7/24/21,Northern Region,Fully Vaccinated,401,11,1,4619225
9/24/21,1/30/21,Eastern Region,Fully Vaccinated,0,0,0,141767
9/24/21,4/17/21,Eastern Region,Unvaccinated,1798,86,17,4859889
9/24/21,5/1/21,Northwest Region,Unvaccinated,1057,35,11,4388240
9/24/21,4/17/21,Northern Region,Fully Vaccinated,73,2,0,2382603
9/24/21,7/31/21,Northern Region,Unvaccinated,1038,30,4,3313414
9/24/21,3/20/21,Eastern Region,Unvaccinated,2355,109,27,6353726
9/24/21,7/24/21,Northern Region,Unvaccinated,728,19,3,3376677
9/24/21,2/13/21,Central Region,Fully Vaccinated,6,0,0,367440
9/24/21,8/28/21,Northwest Region,Unvaccinated,3636,70,19,3039229
9/24/21,4/17/21,Central Region,Fully Vaccinated,23,2,0,2382603
9/24/21,3/13/21,Central Region,Fully Vaccinated,11,0,0,1081329
9/24/21,4/3/21,Northwest Region,Fully Vaccinated,21,2,0,1737620
9/24/21,1/30/21,Northern Region,Unvaccinated,4752,112,35,7756203
9/24/21,4/3/21,Central Region,Unvaccinated,1622,50,21,5508296
9/24/21,9/11/21,Northwest Region,Partially Vaccinated,298,7,0,645675
9/24/21,8/21/21,Central Region,Partially Vaccinated,224,5,3,638793
9/24/21,9/18/21,Northwest Region,Partially Vaccinated,264,5,0,641403
9/24/21,5/29/21,Central Region,Partially Vaccinated,30,1,0,778285
9/24/21,6/26/21,Central Region,Fully Vaccinated,28,0,3,4226322
9/24/21,8/28/21,Northwest Region,Partially Vaccinated,260,7,2,644202
9/24/21,2/13/21,Northern Region,Unvaccinated,3361,68,19,7470053
10/8/21,4/10/21,Southwest Region,Partially Vaccinated,94,16,3,1337138
10/8/21,3/13/21,Southwest Region,Partially Vaccinated,107,11,2,806400
10/8/21,6/19/21,Southwest Region,Partially Vaccinated,8,1,0,576746
10/8/21,6/12/21,Central Region,Fully Vaccinated,18,0,0,4240713
10/8/21,4/3/21,Northwest Region,Unvaccinated,1399,45,15,5504527
10/8/21,5/15/21,Eastern Region,Partially Vaccinated,40,12,1,856005
10/8/21,4/17/21,Eastern Region,Fully Vaccinated,44,7,7,2385489
10/8/21,7/31/21,Northwest Region,Partially Vaccinated,54,5,0,566054
10/8/21,5/8/21,Southwest Region,Partially Vaccinated,45,8,2,971303
10/8/21,2/27/21,Northwest Region,Unvaccinated,1510,27,4,7187073
10/8/21,6/19/21,Northern Region,Partially Vaccinated,17,1,0,576746
10/8/21,3/6/21,Northern Region,Partially Vaccinated,88,10,3,694965
10/8/21,7/31/21,Central Region,Fully Vaccinated,389,6,9,4662929
10/8/21,9/11/21,Northern Region,Fully Vaccinated,902,20,1,4970796
10/8/21,4/10/21,Northwest Region,Partially Vaccinated,150,10,5,1337138
10/8/21,1/30/21,Eastern Region,Unvaccinated,5753,209,83,7754989
10/8/21,5/1/21,Northwest Region,Fully Vaccinated,39,1,0,3046148
10/8/21,1/30/21,Southwest Region,Partially Vaccinated,245,20,19,638547
10/8/21,6/5/21,Central Region,Unvaccinated,197,8,3,3722520
10/8/21,7/10/21,Northern Region,Partially Vaccinated,22,3,0,532487
10/8/21,5/22/21,Northern Region,Partially Vaccinated,59,3,0,809258
10/8/21,2/27/21,Northern Region,Partially Vaccinated,92,3,2,600567
10/8/21,4/24/21,Central Region,Unvaccinated,1150,40,13,4598274
10/8/21,3/6/21,Northwest Region,Fully Vaccinated,10,3,0,915842
10/8/21,6/19/21,Southwest Region,Fully Vaccinated,19,2,0,4358488
10/8/21,5/1/21,Eastern Region,Unvaccinated,1338,52,13,4383450
10/8/21,1/23/21,Northwest Region,Partially Vaccinated,157,3,5,446279
10/8/21,3/20/21,Northwest Region,Partially Vaccinated,67,5,1,966985
10/8/21,3/13/21,Eastern Region,Unvaccinated,2220,81,52,6646396
10/8/21,9/25/21,Central Region,Unvaccinated,3081,45,9,2821114
10/8/21,9/4/21,Northern Region,Unvaccinated,1998,43,4,2970151
10/8/21,4/24/21,Southwest Region,Partially Vaccinated,103,16,5,1226478
10/8/21,5/15/21,Southwest Region,Partially Vaccinated,40,6,0,856005
10/8/21,5/1/21,Northern Region,Unvaccinated,1048,28,6,4383450
10/8/21,1/23/21,Eastern Region,Unvaccinated,6778,268,114,8005963
10/8/21,8/21/21,Northwest Region,Fully Vaccinated,594,21,13,4798623
10/8/21,8/28/21,Southwest Region,Partially Vaccinated,260,1,1,645620
10/8/21,7/10/21,Southwest Region,Fully Vaccinated,68,12,2,4538072
10/8/21,5/1/21,Northwest Region,Partially Vaccinated,77,6,0,1105921
10/8/21,5/15/21,Eastern Region,Unvaccinated,626,36,11,4110357
10/8/21,7/31/21,Northwest Region,Fully Vaccinated,284,15,0,4662929
10/8/21,2/6/21,Eastern Region,Partially Vaccinated,283,24,10,717155
10/8/21,5/1/21,Eastern Region,Fully Vaccinated,32,3,2,3046148
10/8/21,8/7/21,Northern Region,Partially Vaccinated,144,1,0,601024
10/8/21,6/19/21,Northern Region,Unvaccinated,162,8,0,3600285
10/8/21,5/22/21,Southwest Region,Fully Vaccinated,51,7,4,3807075
10/8/21,2/6/21,Northern Region,Partially Vaccinated,126,11,3,717155
10/8/21,3/13/21,Northwest Region,Fully Vaccinated,8,0,0,1082723
10/8/21,3/20/21,Northern Region,Fully Vaccinated,27,2,0,1217887
10/8/21,3/27/21,Eastern Region,Partially Vaccinated,206,16,3,1183549
10/8/21,9/25/21,Southwest Region,Fully Vaccinated,727,24,4,5080832
10/8/21,3/27/21,Southwest Region,Partially Vaccinated,103,15,3,1183549
10/8/21,9/4/21,Southwest Region,Fully Vaccinated,746,31,17,4918182
10/8/21,9/11/21,Eastern Region,Fully Vaccinated,676,27,9,4970796
10/8/21,8/21/21,Northern Region,Unvaccinated,1787,41,13,3096790
10/8/21,8/28/21,Southwest Region,Fully Vaccinated,712,28,8,4858267
10/8/21,6/5/21,Eastern Region,Partially Vaccinated,13,0,0,731459
10/8/21,9/11/21,Northwest Region,Fully Vaccinated,621,16,5,4970796
10/8/21,7/31/21,Northern Region,Fully Vaccinated,628,7,2,4662929
10/8/21,2/6/21,Central Region,Unvaccinated,3667,111,63,7587857
10/8/21,6/5/21,Northwest Region,Partially Vaccinated,12,1,0,731459
10/8/21,9/18/21,Eastern Region,Partially Vaccinated,324,13,0,643002
10/8/21,9/4/21,Eastern Region,Fully Vaccinated,700,27,6,4918182
10/8/21,2/13/21,Eastern Region,Fully Vaccinated,7,0,0,368013
10/8/21,4/3/21,Northern Region,Partially Vaccinated,298,7,3,1291234
10/8/21,7/17/21,Northwest Region,Fully Vaccinated,84,7,0,4584665
10/8/21,7/17/21,Northwest Region,Unvaccinated,392,20,3,3421864
10/8/21,1/30/21,Southwest Region,Fully Vaccinated,2,0,0,141983
10/8/21,7/3/21,Southwest Region,Partially Vaccinated,16,3,0,541041
10/8/21,7/24/21,Northwest Region,Fully Vaccinated,173,2,2,4624811
10/8/21,2/13/21,Northwest Region,Unvaccinated,2492,72,21,7468301
10/8/21,9/4/21,Northwest Region,Fully Vaccinated,626,21,7,4918182
10/8/21,5/15/21,Northern Region,Partially Vaccinated,68,2,0,856005
10/8/21,9/11/21,Central Region,Partially Vaccinated,238,2,2,647277
10/8/21,4/10/21,Central Region,Fully Vaccinated,29,5,2,2049141
10/8/21,7/10/21,Northwest Region,Unvaccinated,269,14,3,3464960
10/8/21,7/17/21,Central Region,Fully Vaccinated,108,3,3,4584665
10/8/21,2/20/21,Central Region,Unvaccinated,2345,76,35,7360611
10/8/21,8/14/21,Central Region,Unvaccinated,2292,65,26,3162349
10/8/21,5/15/21,Northern Region,Fully Vaccinated,43,2,1,3569157
10/8/21,7/24/21,Central Region,Fully Vaccinated,191,9,4,4624811
10/8/21,7/17/21,Eastern Region,Partially Vaccinated,39,4,1,528990
10/8/21,3/20/21,Central Region,Unvaccinated,1561,49,30,6350647
10/8/21,3/20/21,Southwest Region,Fully Vaccinated,15,3,2,1217887
10/8/21,9/4/21,Southwest Region,Unvaccinated,5000,129,54,2970151
10/8/21,8/14/21,Southwest Region,Fully Vaccinated,524,18,7,4746553
10/8/21,8/21/21,Northwest Region,Unvaccinated,2470,79,27,3096790
10/8/21,2/13/21,Southwest Region,Partially Vaccinated,137,8,8,699205
10/8/21,4/10/21,Southwest Region,Unvaccinated,1275,85,32,5149240
10/8/21,8/7/21,Northern Region,Unvaccinated,1381,43,6,3232681
10/8/21,4/24/21,Southwest Region,Fully Vaccinated,46,14,4,2710767
10/8/21,3/6/21,Southwest Region,Fully Vaccinated,11,3,0,915842
10/8/21,3/20/21,Southwest Region,Partially Vaccinated,122,8,3,966985
10/8/21,4/10/21,Eastern Region,Unvaccinated,1959,66,24,5149240
10/8/21,7/3/21,Northwest Region,Partially Vaccinated,9,5,2,541041
10/8/21,5/22/21,Eastern Region,Partially Vaccinated,30,3,0,809258
10/8/21,5/22/21,Northern Region,Fully Vaccinated,42,2,0,3807075
10/8/21,5/22/21,Southwest Region,Partially Vaccinated,28,5,0,809258
10/8/21,7/24/21,Eastern Region,Partially Vaccinated,66,0,0,540742
10/8/21,9/11/21,Southwest Region,Unvaccinated,5219,108,45,2917446
10/8/21,3/6/21,Central Region,Partially Vaccinated,91,9,2,694965
10/8/21,7/31/21,Southwest Region,Fully Vaccinated,336,33,3,4662929
10/8/21,8/14/21,Northwest Region,Unvaccinated,1708,69,19,3162349
10/8/21,8/14/21,Central Region,Fully Vaccinated,516,9,11,4746553
10/8/21,2/6/21,Eastern Region,Unvaccinated,5056,211,76,7587857
10/8/21,4/10/21,Northwest Region,Fully Vaccinated,27,2,0,2049141
10/8/21,4/3/21,Central Region,Partially Vaccinated,189,15,6,1291234
10/8/21,7/10/21,Central Region,Fully Vaccinated,69,5,1,4538072
10/8/21,5/29/21,Southwest Region,Fully Vaccinated,18,2,0,3957822
10/8/21,10/2/21,Eastern Region,Unvaccinated,2876,120,4,2785577
10/8/21,6/19/21,Northwest Region,Partially Vaccinated,7,2,0,576746
10/8/21,8/14/21,Northern Region,Fully Vaccinated,777,12,3,4746553
10/8/21,6/19/21,Central Region,Fully Vaccinated,20,0,0,4358488
10/8/21,4/3/21,Northwest Region,Partially Vaccinated,117,8,1,1291234
10/8/21,9/11/21,Northwest Region,Unvaccinated,4353,100,33,2917446
10/8/21,8/7/21,Northwest Region,Unvaccinated,1463,44,11,3232681
10/8/21,8/28/21,Northern Region,Unvaccinated,1954,48,6,3031632
10/8/21,6/26/21,Northern Region,Unvaccinated,189,3,1,3774207
10/8/21,5/15/21,Central Region,Partially Vaccinated,41,7,0,856005
10/8/21,8/28/21,Central Region,Partially Vaccinated,250,4,1,645620
10/8/21,5/8/21,Southwest Region,Fully Vaccinated,38,6,3,3318397
10/8/21,7/10/21,Northern Region,Unvaccinated,299,16,2,3464960
10/8/21,8/28/21,Eastern Region,Unvaccinated,4776,256,47,3031632
10/8/21,7/17/21,Southwest Region,Partially Vaccinated,19,2,2,528990
10/8/21,3/27/21,Northwest Region,Unvaccinated,1443,28,13,5890719
10/8/21,4/3/21,Northern Region,Fully Vaccinated,46,0,0,1739758
10/8/21,3/13/21,Northwest Region,Unvaccinated,1425,28,23,6646396
10/8/21,10/2/21,Central Region,Partially Vaccinated,153,1,0,629834
10/8/21,2/6/21,Southwest Region,Unvaccinated,2661,111,48,7587857
10/8/21,5/22/21,Northern Region,Unvaccinated,416,9,4,3919186
10/8/21,2/27/21,Southwest Region,Unvaccinated,1426,66,16,7187073
10/8/21,6/26/21,Eastern Region,Unvaccinated,266,22,8,3774207
10/8/21,1/30/21,Northern Region,Fully Vaccinated,3,0,0,141983
10/8/21,3/6/21,Southwest Region,Unvaccinated,1411,58,55,6924712
10/8/21,6/5/21,Central Region,Partially Vaccinated,10,0,0,731459
10/8/21,2/27/21,Eastern Region,Unvaccinated,2590,95,27,7187073
10/8/21,5/29/21,Southwest Region,Partially Vaccinated,35,4,0,779658
10/8/21,9/18/21,Northwest Region,Fully Vaccinated,669,26,5,5028173
10/8/21,10/2/21,Southwest Region,Unvaccinated,3679,53,15,2785577
10/8/21,4/24/21,Northwest Region,Partially Vaccinated,119,7,3,1226478
10/8/21,3/6/21,Eastern Region,Unvaccinated,2263,100,61,6924712
10/8/21,7/24/21,Eastern Region,Unvaccinated,1213,70,8,3369966
10/8/21,7/3/21,Northern Region,Fully Vaccinated,61,0,0,4490259
10/8/21,4/10/21,Central Region,Partially Vaccinated,181,15,4,1337138
10/8/21,5/15/21,Central Region,Fully Vaccinated,31,1,0,3569157
10/8/21,3/27/21,Northern Region,Unvaccinated,2602,58,9,5890719
10/8/21,10/2/21,Eastern Region,Fully Vaccinated,320,13,0,5120108
10/8/21,5/29/21,Southwest Region,Unvaccinated,391,22,8,3798039
10/8/21,9/18/21,Northwest Region,Unvaccinated,4077,93,24,2864344
10/8/21,5/22/21,Northwest Region,Partially Vaccinated,25,2,0,809258
10/8/21,3/27/21,Northwest Region,Fully Vaccinated,25,0,0,1461251
10/8/21,6/5/21,Central Region,Fully Vaccinated,16,4,0,4081540
10/8/21,10/2/21,Central Region,Unvaccinated,2324,32,5,2785577
10/8/21,8/14/21,Northern Region,Unvaccinated,1540,57,12,3162349
10/8/21,7/10/21,Central Region,Partially Vaccinated,24,0,0,532487
10/8/21,3/13/21,Southwest Region,Fully Vaccinated,7,1,0,1082723
10/8/21,1/23/21,Eastern Region,Partially Vaccinated,220,10,12,446279
10/8/21,1/23/21,Southwest Region,Fully Vaccinated,1,0,0,83277
10/8/21,7/17/21,Central Region,Unvaccinated,589,14,7,3421864
10/8/21,9/25/21,Northwest Region,Fully Vaccinated,634,18,1,5080832
10/8/21,8/14/21,Eastern Region,Partially Vaccinated,282,15,6,626617
10/8/21,9/18/21,Northern Region,Unvaccinated,2301,47,1,2864344
10/8/21,9/4/21,Northern Region,Partially Vaccinated,201,4,1,647186
10/8/21,10/2/21,Northwest Region,Fully Vaccinated,369,16,1,5120108
10/8/21,2/27/21,Southwest Region,Partially Vaccinated,61,5,5,600567
10/8/21,6/12/21,Northern Region,Partially Vaccinated,18,0,0,638902
10/8/21,8/21/21,Eastern Region,Fully Vaccinated,818,35,18,4798623
10/8/21,7/24/21,Eastern Region,Fully Vaccinated,262,13,3,4624811
10/8/21,2/20/21,Southwest Region,Fully Vaccinated,9,3,0,526984
10/8/21,9/11/21,Central Region,Unvaccinated,3529,43,22,2917446
10/8/21,9/4/21,Eastern Region,Partially Vaccinated,368,16,4,647186
10/8/21,5/1/21,Central Region,Unvaccinated,1003,34,7,4383450
10/8/21,9/4/21,Central Region,Fully Vaccinated,415,9,7,4918182
10/8/21,9/11/21,Northern Region,Partially Vaccinated,222,6,1,647277
10/8/21,2/6/21,Eastern Region,Fully Vaccinated,0,0,0,230507
10/8/21,7/3/21,Southwest Region,Unvaccinated,286,28,6,3504219
10/8/21,7/31/21,Southwest Region,Partially Vaccinated,49,6,0,566054
10/8/21,8/21/21,Northern Region,Partially Vaccinated,212,9,2,640106
10/8/21,6/26/21,Southwest Region,Unvaccinated,232,22,6,3774207
10/8/21,3/13/21,Central Region,Unvaccinated,1631,42,35,6646396
10/8/21,3/27/21,Northern Region,Partially Vaccinated,243,10,3,1183549
10/8/21,1/23/21,Northwest Region,Fully Vaccinated,0,0,0,83277
10/8/21,2/27/21,Central Region,Partially Vaccinated,74,15,3,600567
10/8/21,5/8/21,Northwest Region,Partially Vaccinated,86,5,1,971303
10/8/21,5/15/21,Northwest Region,Fully Vaccinated,39,2,0,3569157
10/8/21,7/3/21,Central Region,Partially Vaccinated,12,2,0,541041
10/8/21,10/2/21,Eastern Region,Partially Vaccinated,220,12,0,629834
10/8/21,4/17/21,Southwest Region,Fully Vaccinated,62,6,2,2385489
10/8/21,2/13/21,Northern Region,Partially Vaccinated,110,11,3,699205
10/8/21,1/23/21,Northern Region,Partially Vaccinated,152,11,8,446279
10/8/21,6/5/21,Northwest Region,Fully Vaccinated,27,0,0,4081540
10/8/21,4/10/21,Northwest Region,Unvaccinated,1485,60,14,5149240
10/8/21,6/26/21,Northwest Region,Fully Vaccinated,32,1,0,4231522
10/8/21,5/22/21,Central Region,Unvaccinated,391,14,6,3919186
10/8/21,8/7/21,Northwest Region,Partially Vaccinated,114,6,0,601024
10/8/21,2/27/21,Eastern Region,Partially Vaccinated,93,13,9,600567
10/8/21,3/6/21,Eastern Region,Fully Vaccinated,9,0,0,915842
10/8/21,3/20/21,Northern Region,Unvaccinated,2466,54,22,6350647
10/8/21,4/24/21,Northern Region,Fully Vaccinated,57,5,4,2710767
10/8/21,7/17/21,Southwest Region,Fully Vaccinated,112,21,6,4584665
10/8/21,5/29/21,Northern Region,Fully Vaccinated,26,3,2,3957822
10/8/21,6/5/21,Eastern Region,Fully Vaccinated,20,4,2,4081540
10/8/21,7/31/21,Central Region,Unvaccinated,1470,34,24,3306536
10/8/21,5/8/21,Northwest Region,Unvaccinated,808,26,11,4245819
10/8/21,7/3/21,Northern Region,Partially Vaccinated,24,0,0,541041
10/8/21,6/12/21,Northwest Region,Unvaccinated,197,9,3,3655904
10/8/21,5/15/21,Central Region,Unvaccinated,523,16,7,4110357
10/8/21,9/4/21,Central Region,Unvaccinated,3706,52,31,2970151
10/8/21,1/30/21,Central Region,Unvaccinated,4473,96,53,7754989
10/8/21,7/17/21,Northern Region,Partially Vaccinated,56,4,1,528990
